,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss
,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,max,max,max,max,max,max
step,,,,,,,,,,,,,,,,,,
0,-1.0,0.0010000000474974513,,,,,-1.0,0.0010000000474974513,,,,,-1.0,0.0010000000474974513,,,,
610,,4.599999883794226e-05,,,,,,9.999999747378752e-06,,,,,,9.999999747378752e-05,,,,
615,,,31.426118469238283,61.0,,,,,30.669246673583984,61.0,,,,,33.081787109375,61.0,,
619,,,,61.0,34.33592147827149,,,,,61.0,33.366920471191406,,,,,61.0,35.035003662109375,
620,,4.599999883794226e-05,,,,,,9.999999747378752e-06,,,,,,9.999999747378752e-05,,,,
622,,,44.30626907348633,62.0,,,,,38.77187728881836,62.0,,,,,48.918277740478516,62.0,,
629,,,21.015760803222655,62.0,32.71662216186523,,,,19.52043914794922,62.0,31.93878936767578,,,,23.515226364135742,62.0,33.544654846191406,
630,,2.7999999292660505e-05,,,,,,9.999999747378752e-06,,,,,,9.999999747378752e-05,,,,
636,,,22.454317092895508,63.0,,,,,19.89278793334961,63.0,,,,,24.330947875976562,63.0,,
639,,,,63.0,32.566063690185544,,,,,63.0,31.992229461669922,,,,,63.0,33.62532424926758,
640,,2.7999999292660505e-05,,,,,,9.999999747378752e-06,,,,,,9.999999747378752e-05,,,,
643,,,32.2411304473877,64.0,,,,,30.24614715576172,64.0,,,,,34.75114059448242,64.0,,
649,,,,64.0,33.787269592285156,,,,,64.0,33.16786193847656,,,,,64.0,34.314212799072266,
650,,9.999999747378752e-06,42.07750625610352,65.0,,,,9.999999747378752e-06,39.94337844848633,65.0,,,,9.999999747378752e-06,45.78889465332031,65.0,,
657,,,25.633220672607422,65.0,,,,,24.07786750793457,65.0,,,,,27.500207901000977,65.0,,
659,,,,65.0,31.631589508056642,,,,,65.0,30.936853408813477,,,,,65.0,32.47526550292969,
660,,9.999999747378752e-06,,,,,,9.999999747378752e-06,,,,,,9.999999747378752e-06,,,,
664,,,27.588757705688476,66.0,,,,,24.68143081665039,66.0,,,,,30.224746704101562,66.0,,
669,,,,66.0,32.03965187072754,,,,,66.0,31.56572914123535,,,,,66.0,32.5362434387207,
670,,8.19999979739805e-06,,,,,,9.999999974752427e-07,,,,,,9.999999747378752e-06,,,,
671,,,15.446142959594727,67.0,,,,,12.14311408996582,67.0,,,,,17.54347801208496,67.0,,
678,,,17.432205581665038,67.0,,,,,15.183980941772461,67.0,,,,,20.10689926147461,67.0,,
679,,,,67.0,33.10521926879883,,,,,67.0,32.660404205322266,,,,,67.0,33.40241622924805,
680,,6.399999847417348e-06,,,,,,9.999999974752427e-07,,,,,,9.999999747378752e-06,,,,
685,,,49.747492980957034,68.0,,,,,48.46435546875,68.0,,,,,50.99897766113281,68.0,,
689,,,,68.0,33.637665557861325,,,,,68.0,33.185211181640625,,,,,68.0,34.365684509277344,
690,,6.399999847417348e-06,,,,,,9.999999974752427e-07,,,,,,9.999999747378752e-06,,,,
692,,,50.77892303466797,69.0,,,,,49.96746063232422,69.0,,,,,52.14188766479492,69.0,,
699,,,11.568434524536134,69.0,34.214812469482425,,,,10.642909049987793,69.0,33.725128173828125,,,,14.20832633972168,69.0,34.76796340942383,
700,,6.399999847417348e-06,,,,,,9.999999974752427e-07,,,,,,9.999999747378752e-06,,,,
706,,,29.60562210083008,70.0,,,,,27.524856567382812,70.0,,,,,31.2946720123291,70.0,,
709,,,,70.0,34.72058944702148,,,,,70.0,34.26189422607422,,,,,70.0,35.13540267944336,
710,,6.399999847417348e-06,,,,,,9.999999974752427e-07,,,,,,9.999999747378752e-06,,,,
713,,,27.87107925415039,71.0,,,,,26.908353805541992,71.0,,,,,28.935821533203125,71.0,,
719,,,,71.0,32.67493667602539,,,,,71.0,32.264286041259766,,,,,71.0,33.12611770629883,
720,,6.399999847417348e-06,34.88498229980469,72.0,,,,9.999999974752427e-07,33.73004150390625,72.0,,,,9.999999747378752e-06,36.646202087402344,72.0,,
727,,,38.25889663696289,72.0,,,,,37.239532470703125,72.0,,,,,40.444236755371094,72.0,,
729,,,,72.0,32.48429870605469,,,,,72.0,31.933719635009766,,,,,72.0,33.241615295410156,
730,,6.399999847417348e-06,,,,,,9.999999974752427e-07,,,,,,9.999999747378752e-06,,,,
734,,,20.618687629699707,73.0,,,,,15.451661109924316,73.0,,,,,23.415157318115234,73.0,,
739,,,,73.0,32.01503219604492,,,,,73.0,31.86568832397461,,,,,73.0,32.27417755126953,
740,,4.599999897436646e-06,,,,,,9.999999974752427e-07,,,,,,9.999999747378752e-06,,,,
741,,,16.965825653076173,74.0,,,,,15.983903884887695,74.0,,,,,17.84109115600586,74.0,,
748,,,38.8737060546875,74.0,,,,,38.327781677246094,74.0,,,,,39.94813537597656,74.0,,
749,,,,74.0,33.90189437866211,,,,,74.0,33.280887603759766,,,,,74.0,34.41596984863281,
750,,4.599999897436646e-06,,,,,,9.999999974752427e-07,,,,,,9.999999747378752e-06,,,,
755,,,28.21304817199707,75.0,,,,,24.618003845214844,75.0,,,,,32.449317932128906,75.0,,
759,,,,75.0,33.54973678588867,,,,,75.0,32.649784088134766,,,,,75.0,34.05513381958008,
760,,4.599999897436646e-06,,,,,,9.999999974752427e-07,,,,,,9.999999747378752e-06,,,,
762,,,44.34905014038086,76.0,,,,,40.9979133605957,76.0,,,,,46.363609313964844,76.0,,
769,,,21.184673690795897,76.0,33.174749755859374,,,,17.750560760498047,76.0,32.24333190917969,,,,23.358545303344727,76.0,33.70534896850586,
770,,9.999999974752427e-07,,,,,,9.999999974752427e-07,,,,,,9.999999974752427e-07,,,,
776,,,27.244822311401368,77.0,,,,,25.027690887451172,77.0,,,,,29.26283073425293,77.0,,
779,,,,77.0,35.23979263305664,,,,,77.0,34.34070587158203,,,,,77.0,35.95384216308594,
780,,8.199999982139161e-07,,,,,,1.0000000116860974e-07,,,,,,9.999999974752427e-07,,,,
783,,,22.35577735900879,78.0,,,,,21.677635192871094,78.0,,,,,22.954694747924805,78.0,,
789,,,,78.0,33.93965606689453,,,,,78.0,32.86018753051758,,,,,78.0,34.64680862426758,
790,,6.399999989525896e-07,39.32871704101562,79.0,,,,1.0000000116860974e-07,36.885047912597656,79.0,,,,9.999999974752427e-07,41.45375061035156,79.0,,
